Date,Open,Close,Label
20-10-2011,15.905,15.45,__label__1
21-10-2011,15.685,15.7,__label__2
24-10-2011,15.96,16.040001,__label__2
25-10-2011,15.56,15.03,__label__1
26-10-2011,15.29,15.21,__label__2
27-10-2011,15.725,16.09,__label__2
28-10-2011,15.925,16.209999,__label__1
31-10-2011,15.725,15.83,__label__1
01-11-2011,15.26,15.68,__label__1
02-11-2011,15.885,16.014999,__label__2
03-11-2011,16.004999,15.99,__label__1
04-11-2011,15.585,15.505,__label__1
07-11-2011,15.46,15.625,__label__1
08-11-2011,15.785,15.855,__label__2
09-11-2011,15.32,14.74,__label__1
10-11-2011,15.045,14.55,__label__2
11-11-2011,14.715,14.99,__label__2
14-11-2011,14.94,14.815,__label__1
15-11-2011,14.485,14.795,__label__1
16-11-2011,14.63,14.74,__label__1
17-11-2011,14.515,13.935,__label__1
18-11-2011,14.055,13.93,__label__2
21-11-2011,13.595,13.275,__label__1
22-11-2011,13.335,13.09,__label__2
23-11-2011,12.935,12.59,__label__1
25-11-2011,12.67,12.895,__label__2
28-11-2011,13.515,13.285,__label__2
29-11-2011,13.19,13.275,__label__1
30-11-2011,13.71,13.83,__label__2
01-12-2011,13.825,13.715,__label__1
02-12-2011,14.06,14.385,__label__2
05-12-2011,14.385,14.43,__label__1
06-12-2011,14.375,14.395,__label__1
07-12-2011,14.275,14.255,__label__1
08-12-2011,14.05,13.94,__label__1
09-12-2011,13.88,14.13,__label__1
12-12-2011,13.55,13.39,__label__1
13-12-2011,13.42,13.565,__label__2
14-12-2011,13.335,13.145,__label__1
15-12-2011,13.47,13.215,__label__2
16-12-2011,12.795,12.605,__label__1
19-12-2011,12.575,12.375,__label__1
20-12-2011,12.65,12.815,__label__2
21-12-2011,12.97,12.965,__label__2
22-12-2011,13.25,13.085,__label__2
23-12-2011,13,13.13,__label__1
27-12-2011,13.13,13.175,__label__1
28-12-2011,13.145,12.955,__label__1
29-12-2011,12.85,12.93,__label__1
30-12-2011,12.87,13.14,__label__1
03-01-2012,13.51,13.56,__label__2
04-01-2012,13.435,13.63,__label__1
05-01-2012,13.485,13.535,__label__1
06-01-2012,13.615,13.33,__label__2
09-01-2012,13.74,13.545,__label__2
10-01-2012,13.885,13.925,__label__2
11-01-2012,13.96,14.15,__label__2
12-01-2012,13.945,14.04,__label__1
13-01-2012,13.985,13.925,__label__1
17-01-2012,14.29,14.255,__label__2
18-01-2012,14.4,14.685,__label__2
19-01-2012,14.825,15.195,__label__2
20-01-2012,15.19,14.985,__label__1
23-01-2012,14.985,15.17,__label__1
24-01-2012,15.16,15.575,__label__1
25-01-2012,15.625,15.865,__label__2
26-01-2012,15.945,15.65,__label__2
27-01-2012,15.475,15.645,__label__1
30-01-2012,15.345,15.305,__label__1
31-01-2012,15.68,15.515,__label__2
01-02-2012,15.67,15.805,__label__2
02-02-2012,15.99,16.215,__label__2
03-02-2012,16.375,16.76,__label__2
06-02-2012,16.6,16.809999,__label__1
07-02-2012,16.700001,16.684999,__label__1
08-02-2012,16.639999,16.725,__label__1
09-02-2012,16.84,16.924999,__label__2
10-02-2012,16.684999,17.075001,__label__1
13-02-2012,17.245001,17.299999,__label__2
14-02-2012,17.125,17.195,__label__1
15-02-2012,17.355,17.370001,__label__2
16-02-2012,17.299999,17.434999,__label__1
17-02-2012,17.575001,17.799999,__label__2
21-02-2012,17.809999,17.870001,__label__2
22-02-2012,17.700001,17.315001,__label__1
23-02-2012,17.325001,17.135,__label__2
24-02-2012,17.254999,17.48,__label__2
27-02-2012,17.120001,16.885,__label__1
28-02-2012,17.139999,17.4,__label__2
29-02-2012,17.344999,17.174999,__label__1
01-03-2012,17.18,17.165001,__label__2
02-03-2012,17.200001,17.120001,__label__2
05-03-2012,17,17.049999,__label__1
06-03-2012,16.65,16.52,__label__1
07-03-2012,16.68,16.6,__label__2
08-03-2012,16.805,16.889999,__label__2
09-03-2012,17.174999,17.209999,__label__2
12-03-2012,17.115,17.01,__label__1
13-03-2012,17.110001,17.465,__label__2
14-03-2012,17.545,17.299999,__label__2
15-03-2012,17.035,17.09,__label__1
16-03-2012,16.865,16.865,__label__1
19-03-2012,16.469999,16.629999,__label__1
20-03-2012,16.559999,16.655001,__label__1
21-03-2012,16.995001,16.905001,__label__2
22-03-2012,16.535,16.424999,__label__1
23-03-2012,16.639999,16.68,__label__2
26-03-2012,16.684999,16.815001,__label__2
27-03-2012,16.785,17.07,__label__1
28-03-2012,17,17,__label__1
29-03-2012,16.860001,16.584999,__label__1
30-03-2012,16.74,17.049999,__label__2
02-04-2012,16.98,17.334999,__label__1
03-04-2012,17.355,17.299999,__label__2
04-04-2012,17.025,16.91,__label__1
05-04-2012,16.825001,17.129999,__label__1
09-04-2012,16.85,16.825001,__label__1
10-04-2012,16.85,16.559999,__label__2
11-04-2012,16.905001,16.715,__label__2
12-04-2012,16.809999,17.045,__label__2
13-04-2012,16.885,16.549999,__label__1
16-04-2012,16.795,16.57,__label__2
17-04-2012,16.674999,17.42,__label__2
18-04-2012,17.17,17.014999,__label__1
19-04-2012,17.309999,17.040001,__label__2
20-04-2012,17.205,17.334999,__label__2
23-04-2012,16.975,16.719999,__label__1
24-04-2012,16.565001,16.745001,__label__1
25-04-2012,16.985001,16.889999,__label__2
26-04-2012,16.855,16.91,__label__1
27-04-2012,16.92,17.174999,__label__2
30-04-2012,17.1,17.165001,__label__1
01-05-2012,17.195,16.915001,__label__2
02-05-2012,16.83,16.709999,__label__1
03-05-2012,16.77,16.475,__label__2
04-05-2012,16.295,16.205,__label__1
07-05-2012,16.264999,16.41,__label__2
08-05-2012,15.99,15.89,__label__1
09-05-2012,15.68,15.67,__label__1
10-05-2012,15.775,15.8,__label__2
11-05-2012,15.605,15.61,__label__1
14-05-2012,15.26,15.205,__label__1
15-05-2012,15.175,15.175,__label__1
16-05-2012,15.155,14.725,__label__1
17-05-2012,14.765,14.33,__label__2
18-05-2012,14.535,14.53,__label__2
21-05-2012,14.595,14.865,__label__2
22-05-2012,14.47,14.215,__label__1
23-05-2012,14.135,14.285,__label__1
24-05-2012,14.505,14.385,__label__2
25-05-2012,14.375,14.3,__label__1
29-05-2012,14.5,14.68,__label__2
30-05-2012,14.4,14.45,__label__1
31-05-2012,14.515,13.98,__label__2
01-06-2012,13.785,13.78,__label__1
04-06-2012,13.925,14.025,__label__2
05-06-2012,14.035,14.025,__label__2
06-06-2012,14.46,14.86,__label__2
07-06-2012,15.16,15.355,__label__2
08-06-2012,15.215,15.12,__label__1
11-06-2012,15.22,15.05,__label__2
12-06-2012,15.28,15.73,__label__2
13-06-2012,15.55,15.435,__label__1
14-06-2012,15.27,14.915,__label__1
15-06-2012,15.345,15.26,__label__2
18-06-2012,14.925,15.15,__label__1
19-06-2012,15.4,15.415,__label__2
20-06-2012,15.415,15.445,__label__1
21-06-2012,15.495,15.095,__label__2
22-06-2012,15.315,15.415,__label__2
25-06-2012,15.1,15.325,__label__1
26-06-2012,15.365,15.46,__label__2
27-06-2012,15.525,15.58,__label__2
28-06-2012,15.38,15.49,__label__1
29-06-2012,15.98,16.299999,__label__2
02-07-2012,16.334999,16.51,__label__2
03-07-2012,16.6,16.975,__label__2
05-07-2012,16.825001,16.799999,__label__1
06-07-2012,16.605,16.674999,__label__1
09-07-2012,16.825001,16.709999,__label__2
10-07-2012,16.91,16.83,__label__2
11-07-2012,16.795,16.83,__label__1
12-07-2012,16.434999,16.514999,__label__1
13-07-2012,16.950001,17.174999,__label__2
16-07-2012,16.975,17.049999,__label__1
17-07-2012,17.049999,17.115,__label__1
18-07-2012,16.934999,17.129999,__label__1
19-07-2012,17.15,17.17,__label__2
20-07-2012,16.915001,16.77,__label__1
23-07-2012,16.315001,16.200001,__label__1
24-07-2012,16.275,16.120001,__label__2
25-07-2012,16.120001,16.549999,__label__1
26-07-2012,16.74,16.75,__label__2
27-07-2012,17.035,17.280001,__label__2
30-07-2012,17.190001,17.174999,__label__1
31-07-2012,17.115,16.955,__label__1
01-08-2012,17.155001,17.209999,__label__2
02-08-2012,16.985001,17.17,__label__1
03-08-2012,17.51,18,__label__2
06-08-2012,18.030001,17.940001,__label__2
07-08-2012,17.969999,17.594999,__label__2
08-08-2012,17.5,17.65,__label__1
09-08-2012,17.780001,17.66,__label__2
10-08-2012,17.65,17.790001,__label__1
13-08-2012,17.85,17.625,__label__2
14-08-2012,17.77,17.620001,__label__2
15-08-2012,17.540001,17.504999,__label__1
16-08-2012,17.58,17.635,__label__2
17-08-2012,17.629999,17.65,__label__1
20-08-2012,17.65,17.605,__label__1
21-08-2012,17.610001,17.485001,__label__2
22-08-2012,17.495001,17.65,__label__2
23-08-2012,17.625,17.434999,__label__1
24-08-2012,17.25,17.24,__label__1
27-08-2012,17.379999,17.105,__label__2
28-08-2012,17,16.950001,__label__1
29-08-2012,16.959999,17.055,__label__2
30-08-2012,17.105,17.040001,__label__2
31-08-2012,17.125,16.790001,__label__2
04-09-2012,16.805,16.76,__label__2
05-09-2012,16.75,16.825001,__label__1
06-09-2012,16.93,17.27,__label__2
07-09-2012,17.295,17.495001,__label__2
10-09-2012,17.155001,17.15,__label__1
11-09-2012,17.27,17.549999,__label__2
12-09-2012,17.764999,17.65,__label__2
13-09-2012,17.485001,18.084999,__label__1
14-09-2012,18.9,18.57,__label__2
17-09-2012,18.540001,18.51,__label__1
18-09-2012,18.365,18.115,__label__1
19-09-2012,18.174999,18.1,__label__2
20-09-2012,17.875,18.004999,__label__1
21-09-2012,18.715,18.385,__label__2
24-09-2012,18.695,18.475,__label__2
25-09-2012,18.575001,18.370001,__label__2
26-09-2012,18.219999,18.325001,__label__1
27-09-2012,18.5,18.67,__label__2
28-09-2012,18.475,18.790001,__label__1
01-10-2012,18.875,19.285,__label__2
02-10-2012,19.469999,19.165001,__label__2
03-10-2012,19.184999,19.16,__label__2
04-10-2012,19.514999,19.635,__label__2
05-10-2012,19.504999,19.385,__label__1
08-10-2012,19.135,19.190001,__label__1
09-10-2012,19.23,19.055,__label__2
10-10-2012,18.875,18.745001,__label__1
11-10-2012,19.07,18.895,__label__2
