Dates,Headlines
03 Jan 2017,"Kotak Mahindra Bank's Q3 results on January 25, 2017"
03 Jan 2017,ICICI Bank cuts lending rate by 0.7%
02 Jan 2017,"BHIM downloaded 3 mn times, top app in India: Kant"
02 Jan 2017,"Banks sharply cut lending rates after low-cost deposits,PM nudge"
02 Jan 2017,Kotak Mahindra Bank cuts MCLR by up to 0.45 pc
02 Jan 2017,Kotak Mahindra Bank revises MCLR downwards by up to 45 bps
28 Dec 2016,Here is why Tulsian bets on NBFC and bank stocks
28 Dec 2016,ED arrests Kotak Mahindra branch manager for Rs 34 cr deposits
22 Dec 2016,"Sell Jubilant Food; buy BEML, Engineers India: Ashwani Gujral"
19 Dec 2016,"Buy IGL, Petronet; sell Kotak Bank, HUL: Ashwani Gujral"
14 Dec 2016,Digitisation integral part of co; focus on B2B seg: Tech Mah
13 Dec 2016,"Sell PNB, Kotak Bank, L&T Finance, Pidilite; buy EIL: Gujral"
13 Dec 2016,Jet Airways offers EMI payment option to purchase tickets
08 Dec 2016,"Buy Tata Motors DVR, Vedanta, Kotak Bank: Ashwani Gujral"
06 Dec 2016,"Buy SBI, Kotak Mahindra Bank, Bharat Electronics: Ashwani Gujral"
02 Dec 2016,Kotak Mahindra Bank sharpens digital mode post demonetisation
