Date,Open Price,Close Price,Label
27-Apr-11,2950,2953.7,__label__2
26-Apr-11,2939.9,2938.45,__label__1
25-Apr-11,2918.4,2942.15,__label__1
21-Apr-11,2922,2909.25,__label__1
20-Apr-11,2920,2905.5,__label__2
19-Apr-11,2918,2886.7,__label__2
18-Apr-11,2909.5,2905.2,__label__2
15-Apr-11,3304.9,2988.8,__label__2
13-Apr-11,3223.8,3306,__label__2
11-Apr-11,3215,3239.5,__label__1
08-Apr-11,3245,3226.95,__label__2
07-Apr-11,3264,3247.45,__label__2
06-Apr-11,3278,3270.6,__label__2
05-Apr-11,3277,3279.5,__label__2
04-Apr-11,3227.05,3283.85,__label__1
01-Apr-11,3225,3218.2,__label__1
31-Mar-11,3180,3236.75,__label__1
30-Mar-11,3175.2,3170.15,__label__1
29-Mar-11,3135,3172.05,__label__1
28-Mar-11,3143.9,3139.55,__label__1
25-Mar-11,3033,3162,__label__1
24-Mar-11,2998.85,3004.9,__label__1
23-Mar-11,2933,2993.6,__label__1
22-Mar-11,2936,2943.4,__label__1
21-Mar-11,2955,2922.15,__label__2
18-Mar-11,2984.9,2941.55,__label__2
17-Mar-11,2994,2981.25,__label__2
16-Mar-11,3029.95,3035.5,__label__2
15-Mar-11,3039.8,3029.7,__label__2
14-Mar-11,3050,3099.25,__label__2
11-Mar-11,3066,3054.45,__label__1
10-Mar-11,3094,3087.45,__label__2
09-Mar-11,3121.25,3095.25,__label__2
08-Mar-11,3034.8,3114.65,__label__1
07-Mar-11,3042,3037.7,__label__1
04-Mar-11,3050,3062.9,__label__2
03-Mar-11,3056,3025.7,__label__1
01-Mar-11,3035,3088,__label__2
28-Feb-11,3020,3003.05,__label__1
25-Feb-11,3027,3008.25,__label__2
24-Feb-11,3060,3025.4,__label__2
23-Feb-11,3109,3082.2,__label__2
22-Feb-11,3144.85,3143.3,__label__2
21-Feb-11,3100,3161.2,__label__1
18-Feb-11,3125,3096.4,__label__1
17-Feb-11,3114,3111.2,__label__2
16-Feb-11,3096,3100.95,__label__1
15-Feb-11,3104,3101,__label__2
14-Feb-11,3082,3104.55,__label__1
11-Feb-11,3055,3040.6,__label__1
10-Feb-11,3117,3056.05,__label__2
09-Feb-11,3093.9,3127,__label__2
08-Feb-11,3100,3096.6,__label__1
07-Feb-11,3081,3089.05,__label__1
04-Feb-11,3108.8,3046.35,__label__2
03-Feb-11,3087.1,3115.85,__label__2
02-Feb-11,3121,3085.65,__label__2
01-Feb-11,3133,3086.2,__label__2
31-Jan-11,3139,3116.3,__label__2
28-Jan-11,3204.05,3173.5,__label__2
27-Jan-11,3266,3195.2,__label__2
25-Jan-11,3275,3254.1,__label__2
24-Jan-11,3244.4,3278.2,__label__1
21-Jan-11,3267,3248.75,__label__1
20-Jan-11,3238,3289.1,__label__1
19-Jan-11,3306.8,3252,__label__2
18-Jan-11,3248,3318.15,__label__1
17-Jan-11,3200,3267.95,__label__1
14-Jan-11,3206.8,3201.95,__label__1
13-Jan-11,3290,3212.3,__label__2
12-Jan-11,3348.15,3374.95,__label__2
11-Jan-11,3384,3329.25,__label__2
10-Jan-11,3380,3396.65,__label__2
07-Jan-11,3475,3366.5,__label__2
06-Jan-11,3473,3475.85,__label__2
05-Jan-11,3464.7,3467.65,__label__1
04-Jan-11,3453,3468,__label__1
03-Jan-11,3449,3452.9,__label__1
31-Dec-10,3427,3445,__label__1
30-Dec-10,3400,3440.5,__label__1
29-Dec-10,3377.15,3399.5,__label__1
28-Dec-10,3378,3381.85,__label__1
27-Dec-10,3360,3378.75,__label__1
24-Dec-10,3343.2,3368.5,__label__1
23-Dec-10,3340,3362.5,__label__1
22-Dec-10,3325.1,3336.9,__label__1
21-Dec-10,3350,3329.25,__label__2
20-Dec-10,3225.15,3350.9,__label__1
16-Dec-10,3211.1,3292.3,__label__1
15-Dec-10,3153,3203.65,__label__1
14-Dec-10,3161,3151.05,__label__1
13-Dec-10,3149,3148.5,__label__1
10-Dec-10,3150,3147.55,__label__2
09-Dec-10,3146,3151.55,__label__1
08-Dec-10,3153,3134.6,__label__2
07-Dec-10,3142.3,3167.75,__label__2
06-Dec-10,3120,3145.45,__label__1
03-Dec-10,3101,3123,__label__1
02-Dec-10,3050,3095.45,__label__1
01-Dec-10,3040,3054.55,__label__1
30-Nov-10,3054.6,3049.45,__label__2
29-Nov-10,3050.8,3064.85,__label__2
26-Nov-10,3061.5,3040.55,__label__1
25-Nov-10,3017.4,3063.7,__label__1
24-Nov-10,3013.15,3001,__label__1
