Date,Open,High,Low,Close,Adj Close,Volume
2012-07-18,354.049988,356.500000,346.975006,354.625000,312.274902,144220
2012-07-19,356.450012,358.700012,353.299988,355.125000,312.715210,88456
2012-07-20,352.500000,356.000000,350.075012,351.799988,309.787201,63042
2012-07-23,350.500000,353.000000,345.649994,346.350006,304.988098,74562
2012-07-24,346.500000,349.750000,342.125000,343.250000,302.258362,88252
2012-07-25,342.500000,343.100006,337.549988,340.975006,300.255066,114888
2012-07-26,343.500000,343.500000,339.375000,340.899994,300.188965,67690
2012-07-27,344.000000,346.875000,341.075012,343.825012,302.764679,75978
2012-07-30,344.000000,353.000000,344.000000,352.200012,310.139526,109498
2012-07-31,352.625000,355.774994,345.500000,350.225006,308.400391,156532
2012-08-01,351.500000,354.500000,347.500000,349.125000,307.431732,246870
2012-08-02,348.450012,349.000000,345.000000,347.700012,306.176941,74292
2012-08-03,346.500000,346.500000,340.774994,342.700012,301.773987,116068
2012-08-06,345.000000,347.875000,343.500000,346.549988,305.164215,103762
2012-08-07,348.000000,350.325012,345.750000,347.750000,306.220947,100550
2012-08-08,350.000000,364.125000,349.950012,361.375000,318.218781,687430
2012-08-09,365.000000,376.299988,364.350006,371.750000,327.354797,480566
2012-08-10,371.500000,372.200012,367.000000,369.325012,325.219421,233920
2012-08-13,370.000000,370.750000,365.274994,369.899994,325.725739,155952
2012-08-14,370.950012,375.399994,369.000000,373.549988,328.939819,431740
2012-08-16,374.875000,384.000000,374.500000,381.500000,335.940430,293068
2012-08-17,382.500000,388.500000,380.000000,383.549988,337.745605,237332
2012-08-21,385.049988,393.500000,383.500000,392.024994,345.208496,221714
2012-08-22,391.000000,395.000000,389.024994,391.899994,345.098480,124874
2012-08-23,393.000000,394.700012,384.774994,385.825012,339.748932,116410
2012-08-24,382.000000,382.375000,377.000000,381.250000,335.720276,112764
2012-08-27,382.500000,389.174988,382.500000,386.399994,340.255219,134880
2012-08-28,386.500000,389.000000,382.600006,385.450012,339.418732,94542
2012-08-29,386.500000,388.500000,380.799988,386.274994,340.145203,98756
2012-08-30,386.500000,390.000000,382.024994,386.575012,340.409393,196930
2012-08-31,387.500000,387.500000,379.625000,382.575012,336.887054,68942
